COUB,Country of birth,FBORN,Place of birth,EDU,Education level,LFS,Labour force status,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,342,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,ALL_LFS,All labour force status,2,Women,AUS,Australia,24352,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,ALL_LFS,All labour force status,1,Men,AUS,Australia,14892,,
AFRI,Africa,1,Foreign-born,1,ISCED 0/1/2,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,39244,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,1,Employed,2,Women,AUS,Australia,8516,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,1,Employed,1,Men,AUS,Australia,6855,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,1,Employed,ALL_SEX,Men and women,AUS,Australia,15371,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,2,Unemployed,2,Women,AUS,Australia,948,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,2,Unemployed,1,Men,AUS,Australia,1133,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,2081,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3,Inactive,2,Women,AUS,Australia,14662,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3,Inactive,1,Men,AUS,Australia,6788,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3,Inactive,ALL_SEX,Men and women,AUS,Australia,21450,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,99,Unknown labour force status,2,Women,AUS,Australia,226,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,99,Unknown labour force status,1,Men,AUS,Australia,116,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,342,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,ALL_LFS,All labour force status,2,Women,AUS,Australia,24352,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,ALL_LFS,All labour force status,1,Men,AUS,Australia,14892,,
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,39244,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,2,Women,AUS,Australia,19345,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,1,Men,AUS,Australia,25975,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,ALL_SEX,Men and women,AUS,Australia,45320,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,2,Women,AUS,Australia,1087,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,1,Men,AUS,Australia,1590,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,2677,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,2,Women,AUS,Australia,6934,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,1,Men,AUS,Australia,4178,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,ALL_SEX,Men and women,AUS,Australia,11112,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,2,Women,AUS,Australia,70,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,1,Men,AUS,Australia,64,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,134,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,2,Women,AUS,Australia,27436,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,1,Men,AUS,Australia,31807,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,59243,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,2,Women,AUS,Australia,19345,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,1,Men,AUS,Australia,25975,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,ALL_SEX,Men and women,AUS,Australia,45320,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,2,Women,AUS,Australia,1087,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,1,Men,AUS,Australia,1590,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,2677,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,2,Women,AUS,Australia,6934,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,1,Men,AUS,Australia,4178,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,ALL_SEX,Men and women,AUS,Australia,11112,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,2,Women,AUS,Australia,70,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,1,Men,AUS,Australia,64,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,134,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,2,Women,AUS,Australia,27436,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,1,Men,AUS,Australia,31807,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,59243,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,1,Employed,2,Women,AUS,Australia,42821,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,1,Employed,1,Men,AUS,Australia,56394,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,1,Employed,ALL_SEX,Men and women,AUS,Australia,99215,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,2,Unemployed,2,Women,AUS,Australia,3578,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,2,Unemployed,1,Men,AUS,Australia,5058,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,8636,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3,Inactive,2,Women,AUS,Australia,35031,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3,Inactive,1,Men,AUS,Australia,21030,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,56061,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown labour force status,2,Women,AUS,Australia,1281,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown labour force status,1,Men,AUS,Australia,869,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,2150,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,ALL_LFS,All labour force status,2,Women,AUS,Australia,82711,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,ALL_LFS,All labour force status,1,Men,AUS,Australia,83351,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,166062,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,1,Employed,2,Women,AUS,Australia,42821,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,1,Employed,1,Men,AUS,Australia,56394,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,1,Employed,ALL_SEX,Men and women,AUS,Australia,99215,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,2,Unemployed,2,Women,AUS,Australia,3578,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,2,Unemployed,1,Men,AUS,Australia,5058,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,8636,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3,Inactive,2,Women,AUS,Australia,35031,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3,Inactive,1,Men,AUS,Australia,21030,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,56061,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,99,Unknown labour force status,2,Women,AUS,Australia,1281,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,99,Unknown labour force status,1,Men,AUS,Australia,869,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,2150,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,ALL_LFS,All labour force status,2,Women,AUS,Australia,82711,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,ALL_LFS,All labour force status,1,Men,AUS,Australia,83351,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,166062,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,1,Employed,2,Women,AUS,Australia,63513,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,1,Employed,1,Men,AUS,Australia,90941,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,1,Employed,ALL_SEX,Men and women,AUS,Australia,154454,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,2,Unemployed,2,Women,AUS,Australia,9664,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,2,Unemployed,1,Men,AUS,Australia,12012,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,21676,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3,Inactive,2,Women,AUS,Australia,72245,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3,Inactive,1,Men,AUS,Australia,49133,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3,Inactive,ALL_SEX,Men and women,AUS,Australia,121378,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,2,Women,AUS,Australia,780,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,1,Men,AUS,Australia,579,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,1359,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,2,Women,AUS,Australia,146202,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,1,Men,AUS,Australia,152665,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,298867,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,2,Women,AUS,Australia,63513,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,1,Men,AUS,Australia,90941,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,1,Employed,ALL_SEX,Men and women,AUS,Australia,154454,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,2,Women,AUS,Australia,9664,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,1,Men,AUS,Australia,12012,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,21676,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,2,Women,AUS,Australia,72245,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,1,Men,AUS,Australia,49133,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3,Inactive,ALL_SEX,Men and women,AUS,Australia,121378,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,2,Women,AUS,Australia,780,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,1,Men,AUS,Australia,579,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,1359,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,2,Women,AUS,Australia,146202,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,1,Men,AUS,Australia,152665,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,298867,,
ASIA,Asia,1,Foreign-born,99,Unknown education,1,Employed,2,Women,AUS,Australia,17853,,
ASIA,Asia,1,Foreign-born,99,Unknown education,1,Employed,1,Men,AUS,Australia,17461,,
ASIA,Asia,1,Foreign-born,99,Unknown education,1,Employed,ALL_SEX,Men and women,AUS,Australia,35314,,
ASIA,Asia,1,Foreign-born,99,Unknown education,2,Unemployed,2,Women,AUS,Australia,2272,,
ASIA,Asia,1,Foreign-born,99,Unknown education,2,Unemployed,1,Men,AUS,Australia,2474,,
ASIA,Asia,1,Foreign-born,99,Unknown education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,4746,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3,Inactive,2,Women,AUS,Australia,25330,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3,Inactive,1,Men,AUS,Australia,16713,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,42043,,
ASIA,Asia,1,Foreign-born,99,Unknown education,99,Unknown labour force status,2,Women,AUS,Australia,4400,,
ASIA,Asia,1,Foreign-born,99,Unknown education,99,Unknown labour force status,1,Men,AUS,Australia,3016,,
ASIA,Asia,1,Foreign-born,99,Unknown education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,7416,,
ASIA,Asia,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,2,Women,AUS,Australia,49855,,
ASIA,Asia,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,1,Men,AUS,Australia,39664,,
ASIA,Asia,1,Foreign-born,99,Unknown education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,89519,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,2,Women,AUS,Australia,17853,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,1,Men,AUS,Australia,17461,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,1,Employed,ALL_SEX,Men and women,AUS,Australia,35314,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,2,Women,AUS,Australia,2272,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,1,Men,AUS,Australia,2474,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,4746,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,2,Women,AUS,Australia,25330,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,1,Men,AUS,Australia,16713,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3,Inactive,ALL_SEX,Men and women,AUS,Australia,42043,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,2,Women,AUS,Australia,4400,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,1,Men,AUS,Australia,3016,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,7416,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,2,Women,AUS,Australia,49855,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,1,Men,AUS,Australia,39664,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,ALL_LFS,All labour force status,ALL_SEX,Men and women,AUS,Australia,89519,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,1,Employed,2,Women,AUS,Australia,51740,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,1,Employed,1,Men,AUS,Australia,59667,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,1,Employed,ALL_SEX,Men and women,AUS,Australia,111407,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,2,Women,AUS,Australia,10728,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,1,Men,AUS,Australia,12515,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,2,Unemployed,ALL_SEX,Men and women,AUS,Australia,23243,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,2,Women,AUS,Australia,125363,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,1,Men,AUS,Australia,63472,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3,Inactive,ALL_SEX,Men and women,AUS,Australia,188835,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,2,Women,AUS,Australia,1491,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,1,Men,AUS,Australia,856,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,99,Unknown labour force status,ALL_SEX,Men and women,AUS,Australia,2347,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,ALL_LFS,All labour force status,2,Women,AUS,Australia,189322,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,ALL_LFS,All labour force status,1,Men,AUS,Australia,136510,,
