COUB,Country of birth,FBORN,Place of birth,EDU,Education level,AGE,Age,SEX,Sex,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,23484,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,24496,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,28441,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,52937,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,24496,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,28441,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,52937,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,60349,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,62455,,
AFRI,Africa,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,122804,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,60349,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,62455,,
AFRI,Africa,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,122804,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,100019,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,101925,,
ASIA,Asia,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,201944,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,100019,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,101925,,
ASIA,Asia,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,201944,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,35716,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,26682,,
ASIA,Asia,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,62398,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,35716,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,26682,,
ASIA,Asia,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,62398,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,127570,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,85692,,
ASIA,Asia,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,213262,,
ASIA,Asia,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,127570,,
ASIA,Asia,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,85692,,
ASIA,Asia,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,213262,,
ASIA,Asia,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,143611,,
ASIA,Asia,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,138375,,
ASIA,Asia,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,281986,,
ASIA,Asia,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,143611,,
ASIA,Asia,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,138375,,
ASIA,Asia,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,281986,,
ASIA,Asia,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,406916,,
ASIA,Asia,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,352674,,
ASIA,Asia,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,759590,,
ASIA,Asia,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,406916,,
ASIA,Asia,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,352674,,
ASIA,Asia,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,759590,,
EURO,Europe,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,146037,,
EURO,Europe,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,290737,,
EURO,Europe,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,436774,,
EURO,Europe,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,146037,,
EURO,Europe,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,290737,,
EURO,Europe,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,436774,,
EURO,Europe,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,67044,,
EURO,Europe,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,51992,,
EURO,Europe,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,119036,,
EURO,Europe,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,67044,,
EURO,Europe,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,51992,,
EURO,Europe,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,119036,,
EURO,Europe,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,330474,,
EURO,Europe,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,232584,,
EURO,Europe,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,563058,,
EURO,Europe,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,330474,,
EURO,Europe,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,232584,,
EURO,Europe,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,563058,,
EURO,Europe,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,159593,,
EURO,Europe,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,160596,,
EURO,Europe,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,320189,,
EURO,Europe,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,159593,,
EURO,Europe,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,160596,,
EURO,Europe,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,320189,,
EURO,Europe,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,703148,,
EURO,Europe,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,735909,,
EURO,Europe,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,1439057,,
EURO,Europe,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,703148,,
EURO,Europe,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,735909,,
EURO,Europe,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,1439057,,
NOAM,North America,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,6806,,
NOAM,North America,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,8214,,
NOAM,North America,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,15020,,
NOAM,North America,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,6806,,
NOAM,North America,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,8214,,
NOAM,North America,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,15020,,
NOAM,North America,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,1592,,
NOAM,North America,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,1598,,
NOAM,North America,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,3190,,
NOAM,North America,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,1592,,
NOAM,North America,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,1598,,
NOAM,North America,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,3190,,
NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,2704,,
NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,2071,,
NOAM,North America,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,4775,,
NOAM,North America,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,2704,,
NOAM,North America,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,2071,,
NOAM,North America,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,4775,,
NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,16292,,
NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,14954,,
NOAM,North America,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,31246,,
NOAM,North America,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,16292,,
NOAM,North America,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,14954,,
NOAM,North America,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,31246,,
NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,27394,,
NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,26837,,
NOAM,North America,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,54231,,
NOAM,North America,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,27394,,
NOAM,North America,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,26837,,
NOAM,North America,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,54231,,
OCEA,Oceania,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,43387,,
OCEA,Oceania,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,67970,,
OCEA,Oceania,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,111357,,
OCEA,Oceania,0,Native-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,665417,,
OCEA,Oceania,0,Native-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,1296268,,
OCEA,Oceania,0,Native-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,1961685,,
OCEA,Oceania,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,708804,,
OCEA,Oceania,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,1364238,,
OCEA,Oceania,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,2073042,,
OCEA,Oceania,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,15483,,
OCEA,Oceania,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,11845,,
OCEA,Oceania,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,27328,,
OCEA,Oceania,0,Native-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,249831,,
OCEA,Oceania,0,Native-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,183828,,
OCEA,Oceania,0,Native-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,433659,,
OCEA,Oceania,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,265314,,
OCEA,Oceania,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,195673,,
OCEA,Oceania,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,460987,,
OCEA,Oceania,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,62502,,
OCEA,Oceania,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,47010,,
OCEA,Oceania,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,109512,,
OCEA,Oceania,0,Native-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,1625388,,
OCEA,Oceania,0,Native-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,1128618,,
OCEA,Oceania,0,Native-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,2754006,,
OCEA,Oceania,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,1687890,,
OCEA,Oceania,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,1175628,,
OCEA,Oceania,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,2863518,,
OCEA,Oceania,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,37733,,
OCEA,Oceania,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,32570,,
OCEA,Oceania,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,70303,,
OCEA,Oceania,0,Native-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,869196,,
OCEA,Oceania,0,Native-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,710601,,
OCEA,Oceania,0,Native-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,1579797,,
OCEA,Oceania,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,906929,,
OCEA,Oceania,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,743171,,
OCEA,Oceania,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,1650100,,
OCEA,Oceania,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,159105,,
OCEA,Oceania,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,159395,,
OCEA,Oceania,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,318500,,
OCEA,Oceania,0,Native-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,3409832,,
OCEA,Oceania,0,Native-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,3319315,,
OCEA,Oceania,0,Native-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,6729147,,
OCEA,Oceania,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,3568937,,
OCEA,Oceania,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,3478710,,
OCEA,Oceania,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,7047647,,
SCAC,South and Central America and Caribbean,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,9274,,
SCAC,South and Central America and Caribbean,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,11847,,
SCAC,South and Central America and Caribbean,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,21121,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,9274,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,11847,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,21121,,
SCAC,South and Central America and Caribbean,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,3796,,
SCAC,South and Central America and Caribbean,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,2752,,
SCAC,South and Central America and Caribbean,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,6548,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,3796,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,2752,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,6548,,
SCAC,South and Central America and Caribbean,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,8160,,
SCAC,South and Central America and Caribbean,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,5825,,
SCAC,South and Central America and Caribbean,1,Foreign-born,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,13985,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,8160,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,1,Men,AUS,Australia,5825,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,1,ISCED 0/1/2,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,13985,,
SCAC,South and Central America and Caribbean,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,9064,,
SCAC,South and Central America and Caribbean,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,7278,,
SCAC,South and Central America and Caribbean,1,Foreign-born,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,16342,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,2,Women,AUS,Australia,9064,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,1,Men,AUS,Australia,7278,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,16342,,
SCAC,South and Central America and Caribbean,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,30294,,
SCAC,South and Central America and Caribbean,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,27702,,
SCAC,South and Central America and Caribbean,1,Foreign-born,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,57996,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,2,Women,AUS,Australia,30294,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,1,Men,AUS,Australia,27702,,
SCAC,South and Central America and Caribbean,ALL_FBORN,All places of birth,ALL_EDU,All levels of education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,57996,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,16396,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,30764,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,47160,,
OTHER,Other and unknown places of birth,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,82,,
OTHER,Other and unknown places of birth,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,67,,
OTHER,Other and unknown places of birth,1,Foreign-born,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,149,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,2,Women,AUS,Australia,16478,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,1,Men,AUS,Australia,30831,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,2,ISCED 3/4,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,47309,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,137138,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,151261,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,288399,,
OTHER,Other and unknown places of birth,1,Foreign-born,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,106,,
OTHER,Other and unknown places of birth,1,Foreign-born,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,85,,
OTHER,Other and unknown places of birth,1,Foreign-born,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,191,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,2,Women,AUS,Australia,137244,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,1,Men,AUS,Australia,151346,,
OTHER,Other and unknown places of birth,ALL_FBORN,All places of birth,99,Unknown education,3_10,25-64 years,ALL_SEX,Men and women,AUS,Australia,288590,,
OTHER,Other and unknown places of birth,99,Unknown place of birth,1,ISCED 0/1/2,3_10,25-64 years,2,Women,AUS,Australia,40182,,
