COUB,Country of birth,FBORN,Place of birth,EDU,Education level,LFS,Labour force status,FSTUDY,Field of study,COU,Country of residence,Value,Flag Codes,Flags
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,5,Science,AUS,Australia,6518,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,6,Engineering, Manufacturing And Construction,AUS,Australia,6310,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,6,Engineering, Manufacturing And Construction,AUS,Australia,417,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,6,Engineering, Manufacturing And Construction,AUS,Australia,1230,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,16,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,7973,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,7,Agriculture,AUS,Australia,937,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,7,Agriculture,AUS,Australia,92,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,7,Agriculture,AUS,Australia,279,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,7,Agriculture,AUS,Australia,1308,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,8,Health And Welfare,AUS,Australia,6975,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,8,Health And Welfare,AUS,Australia,198,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,8,Health And Welfare,AUS,Australia,1446,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,8,Health And Welfare,AUS,Australia,17,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,8,Health And Welfare,AUS,Australia,8636,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,9,Services,AUS,Australia,1331,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,9,Services,AUS,Australia,79,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,9,Services,AUS,Australia,440,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,9,Services,AUS,Australia,1850,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,99,Unknown,AUS,Australia,800,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,99,Unknown,AUS,Australia,54,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,99,Unknown,AUS,Australia,363,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,99,Unknown,AUS,Australia,13,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,99,Unknown,AUS,Australia,1230,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,1,Employed,ALL_FSTUDY,All fields of study,AUS,Australia,45323,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,2,Unemployed,ALL_FSTUDY,All fields of study,AUS,Australia,2674,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,3,Inactive,ALL_FSTUDY,All fields of study,AUS,Australia,11101,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,99,Unknown labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,124,,
AFRI,Africa,1,Foreign-born,3_4,ISCED 5/6,ALL_LFS,All labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,59222,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,2,Education,AUS,Australia,5155,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,2,Education,AUS,Australia,209,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,2,Education,AUS,Australia,1884,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,2,Education,AUS,Australia,21,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,2,Education,AUS,Australia,7269,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,3,Art And Humanities,AUS,Australia,5258,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,3,Art And Humanities,AUS,Australia,385,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,3,Art And Humanities,AUS,Australia,1778,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,3,Art And Humanities,AUS,Australia,19,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,3,Art And Humanities,AUS,Australia,7440,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,4,Social Sciences, Business And Law,AUS,Australia,13456,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,4,Social Sciences, Business And Law,AUS,Australia,841,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,4,Social Sciences, Business And Law,AUS,Australia,2667,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,4,Social Sciences, Business And Law,AUS,Australia,34,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,4,Social Sciences, Business And Law,AUS,Australia,16998,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,5,Science,AUS,Australia,5101,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,5,Science,AUS,Australia,399,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,5,Science,AUS,Australia,1014,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,5,Science,AUS,Australia,4,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,5,Science,AUS,Australia,6518,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,6,Engineering, Manufacturing And Construction,AUS,Australia,6310,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,6,Engineering, Manufacturing And Construction,AUS,Australia,417,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,6,Engineering, Manufacturing And Construction,AUS,Australia,1230,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,16,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,7973,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,7,Agriculture,AUS,Australia,937,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,7,Agriculture,AUS,Australia,92,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,7,Agriculture,AUS,Australia,279,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,7,Agriculture,AUS,Australia,1308,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,8,Health And Welfare,AUS,Australia,6975,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,8,Health And Welfare,AUS,Australia,198,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,8,Health And Welfare,AUS,Australia,1446,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,8,Health And Welfare,AUS,Australia,17,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,8,Health And Welfare,AUS,Australia,8636,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,9,Services,AUS,Australia,1331,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,9,Services,AUS,Australia,79,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,9,Services,AUS,Australia,440,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,9,Services,AUS,Australia,1850,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,99,Unknown,AUS,Australia,800,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,99,Unknown,AUS,Australia,54,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,99,Unknown,AUS,Australia,363,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,99,Unknown,AUS,Australia,13,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,99,Unknown,AUS,Australia,1230,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,1,Employed,ALL_FSTUDY,All fields of study,AUS,Australia,45323,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,2,Unemployed,ALL_FSTUDY,All fields of study,AUS,Australia,2674,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,3,Inactive,ALL_FSTUDY,All fields of study,AUS,Australia,11101,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,99,Unknown labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,124,,
AFRI,Africa,ALL_FBORN,All places of birth,3_4,ISCED 5/6,ALL_LFS,All labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,59222,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,2,Education,AUS,Australia,52,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,2,Education,AUS,Australia,5,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,2,Education,AUS,Australia,57,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,3,Art And Humanities,AUS,Australia,242,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,3,Art And Humanities,AUS,Australia,6,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,3,Art And Humanities,AUS,Australia,40,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,3,Art And Humanities,AUS,Australia,288,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,4,Social Sciences, Business And Law,AUS,Australia,121,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,4,Social Sciences, Business And Law,AUS,Australia,7,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,4,Social Sciences, Business And Law,AUS,Australia,13,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,4,Social Sciences, Business And Law,AUS,Australia,141,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,5,Science,AUS,Australia,511,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,5,Science,AUS,Australia,17,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,5,Science,AUS,Australia,75,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,5,Science,AUS,Australia,603,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,6,Engineering, Manufacturing And Construction,AUS,Australia,189,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,6,Engineering, Manufacturing And Construction,AUS,Australia,11,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,6,Engineering, Manufacturing And Construction,AUS,Australia,19,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,219,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,7,Agriculture,AUS,Australia,45,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,7,Agriculture,AUS,Australia,5,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,7,Agriculture,AUS,Australia,8,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,7,Agriculture,AUS,Australia,58,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,8,Health And Welfare,AUS,Australia,566,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,8,Health And Welfare,AUS,Australia,10,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,8,Health And Welfare,AUS,Australia,71,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,8,Health And Welfare,AUS,Australia,647,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,9,Services,AUS,Australia,4,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,9,Services,AUS,Australia,4,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,99,Unknown,AUS,Australia,29,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,99,Unknown,AUS,Australia,4,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,99,Unknown,AUS,Australia,33,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,1,Employed,ALL_FSTUDY,All fields of study,AUS,Australia,1759,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,2,Unemployed,ALL_FSTUDY,All fields of study,AUS,Australia,56,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,3,Inactive,ALL_FSTUDY,All fields of study,AUS,Australia,235,,
AFRI,Africa,1,Foreign-born,4,ISCED 6,ALL_LFS,All labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,2050,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,2,Education,AUS,Australia,52,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,2,Education,AUS,Australia,5,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,2,Education,AUS,Australia,57,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,3,Art And Humanities,AUS,Australia,242,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,3,Art And Humanities,AUS,Australia,6,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,3,Art And Humanities,AUS,Australia,40,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,3,Art And Humanities,AUS,Australia,288,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,4,Social Sciences, Business And Law,AUS,Australia,121,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,4,Social Sciences, Business And Law,AUS,Australia,7,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,4,Social Sciences, Business And Law,AUS,Australia,13,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,4,Social Sciences, Business And Law,AUS,Australia,141,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,5,Science,AUS,Australia,511,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,5,Science,AUS,Australia,17,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,5,Science,AUS,Australia,75,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,5,Science,AUS,Australia,603,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,6,Engineering, Manufacturing And Construction,AUS,Australia,189,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,6,Engineering, Manufacturing And Construction,AUS,Australia,11,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,6,Engineering, Manufacturing And Construction,AUS,Australia,19,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,219,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,7,Agriculture,AUS,Australia,45,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,7,Agriculture,AUS,Australia,5,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,7,Agriculture,AUS,Australia,8,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,7,Agriculture,AUS,Australia,58,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,8,Health And Welfare,AUS,Australia,566,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,8,Health And Welfare,AUS,Australia,10,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,8,Health And Welfare,AUS,Australia,71,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,8,Health And Welfare,AUS,Australia,647,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,9,Services,AUS,Australia,4,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,9,Services,AUS,Australia,4,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,99,Unknown,AUS,Australia,29,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,99,Unknown,AUS,Australia,4,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,99,Unknown,AUS,Australia,33,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,1,Employed,ALL_FSTUDY,All fields of study,AUS,Australia,1759,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,2,Unemployed,ALL_FSTUDY,All fields of study,AUS,Australia,56,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,3,Inactive,ALL_FSTUDY,All fields of study,AUS,Australia,235,,
AFRI,Africa,ALL_FBORN,All places of birth,4,ISCED 6,ALL_LFS,All labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,2050,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,2,Education,AUS,Australia,5103,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,2,Education,AUS,Australia,209,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,2,Education,AUS,Australia,1879,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,2,Education,AUS,Australia,21,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,2,Education,AUS,Australia,7212,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,3,Art And Humanities,AUS,Australia,5016,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,3,Art And Humanities,AUS,Australia,379,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,3,Art And Humanities,AUS,Australia,1738,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,3,Art And Humanities,AUS,Australia,19,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,3,Art And Humanities,AUS,Australia,7152,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,4,Social Sciences, Business And Law,AUS,Australia,13335,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,4,Social Sciences, Business And Law,AUS,Australia,834,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,4,Social Sciences, Business And Law,AUS,Australia,2654,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,4,Social Sciences, Business And Law,AUS,Australia,34,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,4,Social Sciences, Business And Law,AUS,Australia,16857,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,5,Science,AUS,Australia,4590,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,5,Science,AUS,Australia,382,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,5,Science,AUS,Australia,939,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,5,Science,AUS,Australia,4,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,5,Science,AUS,Australia,5915,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,6,Engineering, Manufacturing And Construction,AUS,Australia,6121,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,6,Engineering, Manufacturing And Construction,AUS,Australia,406,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,6,Engineering, Manufacturing And Construction,AUS,Australia,1211,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,16,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,6,Engineering, Manufacturing And Construction,AUS,Australia,7754,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,7,Agriculture,AUS,Australia,892,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,7,Agriculture,AUS,Australia,87,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,7,Agriculture,AUS,Australia,271,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,7,Agriculture,AUS,Australia,1250,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,8,Health And Welfare,AUS,Australia,6409,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,8,Health And Welfare,AUS,Australia,188,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,8,Health And Welfare,AUS,Australia,1375,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,8,Health And Welfare,AUS,Australia,17,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,8,Health And Welfare,AUS,Australia,7989,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,9,Services,AUS,Australia,1327,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,9,Services,AUS,Australia,79,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,9,Services,AUS,Australia,440,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,9,Services,AUS,Australia,1846,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,99,Unknown,AUS,Australia,771,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,99,Unknown,AUS,Australia,54,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,99,Unknown,AUS,Australia,359,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,99,Unknown,AUS,Australia,13,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,99,Unknown,AUS,Australia,1197,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,1,Employed,ALL_FSTUDY,All fields of study,AUS,Australia,43564,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,2,Unemployed,ALL_FSTUDY,All fields of study,AUS,Australia,2618,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,3,Inactive,ALL_FSTUDY,All fields of study,AUS,Australia,10866,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,99,Unknown labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,124,,
AFRI,Africa,1,Foreign-born,3,ISCED 5,ALL_LFS,All labour force status,ALL_FSTUDY,All fields of study,AUS,Australia,57172,,
AFRI,Africa,ALL_FBORN,All places of birth,3,ISCED 5,1,Employed,2,Education,AUS,Australia,5103,,
AFRI,Africa,ALL_FBORN,All places of birth,3,ISCED 5,2,Unemployed,2,Education,AUS,Australia,209,,
AFRI,Africa,ALL_FBORN,All places of birth,3,ISCED 5,3,Inactive,2,Education,AUS,Australia,1879,,
AFRI,Africa,ALL_FBORN,All places of birth,3,ISCED 5,99,Unknown labour force status,2,Education,AUS,Australia,21,,
